PTS_WON,Team Win Percentage,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE
965,0.792,35.4,30.4,0.449,0.367,0.858,5.4,8.8,1.8,0.7,4.4,29.87,115.8,105.7,10.1,44.9,2,23.4,11.7,54.1,61.9,35.1,15.4
738,0.609,36.9,27.5,0.542,0.367,0.731,8.6,9.1,1.4,0.9,4.2,28.65,113.1,111.5,1.6,43.2,2.15,25.8,12,59,62.1,30.8,14
445,0.585,36.4,28.1,0.534,0.34,0.828,11.1,2.3,1.5,2.6,2.2,28.98,108.9,103.6,5.3,10.4,1.07,8.5,7.9,55.2,61.2,29,13.7
207,0.597,36.6,26.9,0.439,0.361,0.916,4.5,6.6,1.1,0.4,2.8,25.19,110.1,104,6.2,30.1,2.33,20.8,8.9,51.9,59.4,29.3,12.6
76,0.585,36.4,25.4,0.449,0.298,0.737,10.1,10.3,1.8,0.3,4.8,24.8,111.7,105.3,6.4,46.4,2.15,26.3,12.2,47.7,52.4,32.5,10.1
75,0.536,36.7,26.9,0.529,0.307,0.76,10,4.8,1.5,1.4,3,27.37,108.7,105.7,3.1,23.7,1.62,15.9,9.8,54.5,59.8,30.6,11.9
66,0.707,34.2,26.4,0.516,0.419,0.889,6.8,5.4,0.7,1.8,3,26.05,115.4,108.4,7,24.3,1.77,18.7,10.6,58.6,64,29.2,10.4
32,0.719,33.9,23,0.456,0.31,0.825,3.9,5.2,1.1,0.3,2.2,21.1,113.7,106,7.7,24.5,2.38,18.7,7.8,48.8,55.5,28.5,9.6
6,0.573,33.5,23.1,0.51,0.293,0.837,8.5,2,0.6,1.2,1.5,25.12,107.8,102.6,5.2,11.1,1.37,8.6,6.3,52,57,28.6,10.9
5,0.573,36.7,22.2,0.474,0.35,0.854,5.3,4.9,2,0.4,1.8,23.7,114,105.6,8.4,20.4,2.67,19.3,7.2,51.2,59,24.3,8.9
5,0.707,32,26.4,0.495,0.423,0.921,5.1,6.1,1.6,0.2,3,28.32,120.1,106.9,13.2,27.2,2.03,21.4,10.6,61.8,67.5,28.9,9.1
4,0.634,30.3,22.9,0.483,0.308,0.769,11,3.2,0.6,1.8,3.7,22.95,109.1,96.8,12.3,18.2,0.85,11.7,13.8,51.4,57.3,32.6,6.2
2,0.585,34,23.1,0.477,0.371,0.799,5.2,4.3,2.4,0.8,2.9,23.12,109.4,103.4,6,20.9,1.47,15.8,10.7,53.7,57.7,29.4,8.2
888,0.573,34.6,31.6,0.425,0.343,0.845,10.7,10.4,1.6,0.4,5.4,30.7,110,105.4,4.7,54.3,1.92,23.5,12.3,47.6,55.4,40,13.1
753,0.67,36.4,29.1,0.44,0.347,0.847,8.1,11.2,1.5,0.5,5.7,27.43,115.4,108.5,6.9,50.5,1.95,27.9,14.3,52.5,61.3,33.3,15
500,0.743,33.4,25.5,0.485,0.38,0.88,5.8,3.5,1.8,0.7,2.1,27.62,113.1,104.3,8.8,18.2,1.69,13.3,7.9,54.1,61,30.5,13.6
333,0.621,37.8,26.4,0.548,0.363,0.674,8.6,8.7,1.2,0.6,4.1,27.11,115.9,107.8,8.1,38.8,2.13,25.7,12.1,59.4,61.9,29,12.9
81,0.646,33.8,28.9,0.463,0.379,0.909,2.7,5.9,0.9,0.2,2.8,26.59,114.6,109.5,5.1,30.5,2.13,18.7,8.7,54.6,62.5,33.1,12.5
52,0.817,33.4,25.3,0.468,0.411,0.898,4.5,6.6,1.8,0.2,3,24.74,119.8,102.1,17.7,28.7,2.19,22.4,10.2,58,62.4,28.6,12.6
7,0.512,35.6,22.9,0.521,0.272,0.77,8.8,5.4,1.6,1.9,2.9,26.13,108,107,1,26.9,1.85,19.7,10.6,54.1,59.9,27.9,12.4
7,0.597,36.4,23.1,0.451,0.327,0.801,4.2,10.7,2,0.6,4.1,23.28,112.5,108.4,4.1,45,2.58,29.5,11.4,48.2,54.1,29.8,8.8
2,0.414,36.1,28,0.505,0.299,0.802,11.8,2.1,1.3,2.2,2.4,27.59,104.9,103.6,1.3,11,0.87,7.4,8.5,51.8,58,32,11
2,0.817,33.4,25.1,0.537,0.375,0.875,8.3,4.8,1.1,1.6,2.2,27.68,117.1,101.4,15.7,21.8,2.17,18.5,8.5,59.4,65.1,26.9,12
1,0.621,35.4,27.3,0.467,0.266,0.842,5.2,3.9,1.1,0.2,2.4,24.09,111,108.4,2.6,20.4,1.61,12.6,7.8,47.7,55.2,33.6,9
1310,0.89,34.2,30.1,0.504,0.454,0.908,5.4,6.7,2.1,0.2,3,31.5,117.2,99.4,17.7,31.5,2.01,20.7,10.3,63,66.9,31.3,17.9
